Year,Location,Rainfall (mm),Avg_Temperature (°C),Humidity (%),Soil_Moisture (%),Soil_pH,Organic_Carbon (%),Fertilizer (kg/ha),Planting_Date,Prev_Yield (tons/ha),Market_Price (KES/ton),Days_to_Harvest,Labour_Cost (KES/ha),Storage_Loss (%),Yield (tons/ha)
2016,Lake Baringo,364.716045584801,26.83796259584387,67.84228902657765,29.547778194421742,6.913282307229917,1.8179801777194462,116.27894357159359,110,2.1591499050504823,3489.5911655075115,141,846.982082044183,30.0,3.393242772921955
2013,Nyahururu,1118.1050299521328,15.192792111612203,62.483676636283285,28.284004093194184,6.481213952381969,0.7497327063438892,62.786470561859744,110,1.6977827787170807,4842.273280179581,135,654.7622343529766,29.740486614978067,5.240100714834751
2022,Naivasha,1161.9899923586004,25.5183418186996,60.742164248387176,25.469256022023476,5.598742081252521,1.6246932918887875,179.75716383313878,92,4.81954043317555,3016.801024688526,122,1112.814593051482,30.0,4.931210288930764
2020,Iten,369.941176552553,27.200006690620697,67.25622814679141,37.794136136789746,5.000613226279983,1.3156529886676656,57.03539781469391,79,2.3993533050866103,2149.137351281939,138,663.379067944133,27.529820085592625,3.9273045861096123
2017,Eldoret,779.1242113751834,25.260905838405954,65.15005793762695,25.632390883120493,7.007122767470703,1.2055104013795208,107.0969092597332,89,4.4175430371477145,3826.2815600921354,145,959.2425495718481,26.409698685689595,3.6566310070694725
2022,Cherangani Hills,573.0278539927534,16.692527978314768,75.33354327370358,39.71545346350638,7.056583888290412,1.8536889390842095,65.02068035644527,116,2.4006680204872155,3904.1890089614144,107,686.5394224491691,24.758514458459345,3.4689654988843226
2014,Nakuru,653.5551688332621,16.05662836293154,82.52604803950042,25.27686441544333,6.744011253485905,1.7089817268796752,166.24707492006172,103,2.0454459329145154,3438.709127105675,101,924.8442152151151,19.911527981545827,4.256876408840383
2016,Kapsabet,461.6860961598077,15.27098811750011,61.88354612748963,13.475561149041027,5.191452328419034,1.7049178990502298,96.91054682418903,81,4.063858131289395,3190.5787651830296,146,956.2722603618744,20.587462607591558,1.5
2019,Mau Escarpment,820.2648918111713,23.173687935764924,58.548846112880696,24.11413753225091,6.463055718770115,0.7203543277577882,66.96584189788322,81,4.224421455315162,4677.993801770818,99,1050.8323493077937,23.360443030871156,2.6292004083959437
2012,Kitale,1162.1814179240014,23.185744474178534,76.67581083481369,15.469862876652137,7.052551678179018,2.5057954525678414,129.72369482967707,97,4.452644574566396,4815.311549792459,113,1025.8658466711554,30.0,3.1879176775377984
