Year,Latitude,Longitude,Rainfall (mm),Avg_Temperature (°C),Humidity (%),Soil_Moisture (%),Soil_pH,Organic_Carbon (%),Fertilizer (kg/ha),Planting_Date,Prev_Yield (tons/ha),Market_Price (KES/ton),Days_to_Harvest,Yield (tons/ha)
2011,0.243826122561011,35.7218930514053,362.736971822065,23.255663912632357,63.35278274210405,34.511387632095094,6.63215516195103,2.0471888818650696,168.33309925184574,99,2.7168976079795595,2844.8084189790857,102,2.9417057587262847
2019,-0.34603677516463627,36.14058592121835,1073.8663247240968,18.083526564741163,72.30958961324447,20.75036526018576,5.296701251321712,1.2335252684716407,154.844058877608,67,4.536961668061526,3766.3195722089304,119,4.1442845239429085
2015,-0.8090382925531086,35.30821969548592,1000.0309290995257,26.362596886435135,63.838299602404476,29.603303758324003,5.729524769792109,2.8418074672513853,178.23808627264657,92,1.8064056257038932,4899.030618197077,130,4.261483653554034
2012,0.10602376305264105,34.943002101707705,520.7069624085109,24.51755740533819,66.65637117911224,26.71469258860709,6.641347779693424,2.4866548126357584,51.11653828282605,92,2.957294676570588,4984.7884548201255,99,2.4016712503709434
2011,-0.4194422136251579,35.52404677821752,991.2292088286741,24.64431630626043,81.90094189766423,11.936203134461062,7.0639532628619826,2.1239844603336087,89.19882377665908,63,2.399368503865209,3903.2230917880133,148,1.5
2023,-1.3414394307376165,35.59768351118695,311.37834126001667,27.95523761005174,56.48437421720806,28.652505907920343,5.802313754358368,1.2112596187838214,132.32025899016224,77,4.606938976998391,3474.451176849765,123,3.629521540294367
2015,-0.3682988793735067,35.576652744019825,495.52191523279237,25.432844953223107,74.76458781213684,34.4171041681748,6.997133891391253,2.2531714486042937,191.15271149782737,78,4.32174793564011,2533.076915560777,119,4.2005166405970185
2015,0.31603709084332476,35.63014758296021,358.62351480380636,25.77896824101699,70.22377606763382,39.773449608982276,6.694381150683206,1.2229206668980102,151.96852701988087,69,4.945079806393114,2625.001233088239,114,4.656467169544066
2008,-0.7073747490035589,36.39740983647836,1002.2042249561052,27.368271704232058,62.20286549917397,10.889202179551686,5.871686928769,0.5940774603796901,118.48831794227728,109,1.9174549339729776,3287.600037467674,95,1.6553121954846195
2012,-0.9073483962003999,36.30449124619246,980.2867360605485,16.96474199803562,79.10138625961643,29.80174517751604,7.190992344361098,1.7710864690506851,69.52119957615245,101,4.237852664515528,4106.859010829645,144,3.9503462346047766
2007,-1.21306108596396,36.25143407311788,1032.2724214216476,21.470455894214883,72.04753438164592,22.436486594438865,6.273072665088578,1.7217113619717272,123.98230321361784,100,1.9405155582865425,4307.909349673233,141,3.8522231408239747
2006,-1.1971089561292854,36.102833621817254,304.033523992976,22.54737130668024,69.09446107842781,10.29363666118616,6.620617056365205,2.407514932565584,116.16304586840994,89,2.0425825121368355,2665.7251356923325,126,1.500638243294059
2016,-0.6344570313163622,36.38685621453057,751.1094540105672,19.28058447989195,76.706772590848,28.43082831125534,6.2390783547587,2.6641847058861114,166.7664912033053,81,1.637169252358849,3606.250323967563,106,4.262466185059722
2010,-0.3086403516769409,34.6969892833588,934.3525777656029,25.912243470628574,82.09161231925444,13.672818956669065,6.13179990122692,1.3861712217356552,112.00229607448222,98,3.1264775420951993,3774.8151933044132,125,1.8088076028004256
2006,-1.3387691896607965,35.03024652289148,439.8610158651139,24.911455081394404,88.90675160134305,21.3570055056741,7.1199442930971415,1.6236825255091774,97.82571122499996,97,1.9405860243719757,4679.234059901379,129,2.421938578857528
2005,0.3791371780503314,35.49011189130917,884.8116547613622,24.371479968605612,75.17401473505494,17.841012774652068,5.7367610375965645,1.6760010491113204,63.457952370323135,60,2.7192265327016982,4629.264685292046,121,2.0214839506841624
2016,0.01026723489039183,36.19306898624681,375.69908937871713,27.96294271685617,84.97759941601532,20.83490206813298,5.091573055909311,1.3105602109309484,56.97515958880502,89,2.4666975785184153,4452.155604019079,111,1.5
2016,-0.32675216343267466,35.510331423045464,463.19327049388187,18.371957854309077,50.04366164091828,24.780867445028488,7.199456608862403,2.3584673090629757,115.87016412835655,64,4.917241918977528,3549.984470187364,144,3.018254200389322
